population;region;country;lat;lon;tool;toolset;tooltype;toolclass;toolgroup;use;preparation;sequence;popcomplexity;Toolcomplexity;Toolsetcomplexity;tooldetail;Behaviour
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey lever;Aerial honey;Honeylever;Honeydip;Honey;NA;NA;NA;NA;13;23;Honey leverapis;Perforate
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey perforate;Underground stinglessbee;Honeyperforate;Honeydig;Honey;NA;NA;NA;NA;8;12;Honey perforate;Dig
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey pound;Aerial honey;Honeypound;Honeydip;Honey;NA;NA;NA;NA;20;36;Honey poundmeli;Pound
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey swab;Aerial honey;Honeyswab;Honeydip;Honey;NA;NA;NA;NA;22;36;Honey swab;Dip
Dindefelo;W;Senegal;12.36026396;-12.39585383;Honey whiskswat;Honey whiskswat;Honeywhiskswat;Honeydip;Honey;NA;NA;NA;NA;1;1;Honey whiskswat;Whisk
Dindefelo;W;Senegal;12.36026396;-12.39585383;Leafsponge;Leafsponge;Leafsponge;Leafsponge;Leaf;NA;NA;NA;NA;3;3;Leafsponge;Sponge
Dindefelo;W;Senegal;12.36026396;-12.39585383;Marrow pick;Marrow;Marrowpick;Marrowpick;Marrow;NA;NA;NA;NA;1;1;Marrow pick;Dip
Dindefelo;W;Senegal;12.36026396;-12.39585383;Nut branchanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut branchanvil;Smash
Dindefelo;W;Senegal;12.36026396;-12.39585383;Nut pick;Nut;Nutpick;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut pick;Dip
Dindefelo;W;Senegal;12.36026396;-12.39585383;Nut rootanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut rootanvil;Smash
Dindefelo;W;Senegal;12.36026396;-12.39585383;Nut stoneanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut stoneanvil;Smash
Dindefelo;W;Senegal;12.36026396;-12.39585383;Nut stonehammer;Nut;Nuthammer;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut stonehammer;Pound
Dindefelo;W;Senegal;12.36026396;-12.39585383;Nut woodhammer;Nut;Nuthammer;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut woodhammer;Pound
Dindefelo;W;Senegal;12.36026396;-12.39585383;Stone pound;Stonepound;Smash;Smash;Smash;NA;NA;NA;NA;1;1;Stone pound;Smash
Dindefelo;W;Senegal;12.36026396;-12.39585383;Termite fishing;Epigaiec termitefishing;Termitefish;Termitefish;Termite;1;NA;2;NA;12;18;Termite fishingepigaeic;Dip
Dindefelo;W;Senegal;12.36026396;-12.39585383;Termite fishing;Underground termitefishing;Termitefish;Termitedig;Termite;0;NA;0;NA;12;18;Termite fishingunder;Dip
